asset,file,pc1_evr_bar_norm,snapshots,bars
SOL,sol_2026-06-12.npz,0.9566869525961967,86255,1440
SOL,sol_2026-06-13.npz,0.9485309812272864,85545,1440
SOL,sol_2026-06-14.npz,0.9596794646325894,85313,1440
SOL,sol_2026-06-15.npz,0.9531360107823906,86271,1440
SOL,sol_2026-06-16.npz,0.967027165543084,85956,1440
SOL,sol_2026-06-17.npz,0.9557762239033434,86151,1440
SOL,sol_2026-06-18.npz,0.959220011613173,86156,1440
SOL,sol_2026-06-19.npz,0.9525179620331065,85948,1440
SOL,sol_2026-06-20.npz,0.9433288733592157,85747,1440
SOL,sol_2026-06-21.npz,0.9101225270709912,85682,1440
SOL,sol_2026-06-22.npz,0.9409414367060175,86216,1440
SOL,sol_2026-06-23.npz,0.9393479662686396,86130,1440
SOL,sol_2026-06-24.npz,0.9457777966938871,86207,1440
SOL,sol_2026-06-25.npz,0.9441243206905343,86244,1440
SOL,sol_2026-06-26.npz,0.9423529401105168,86377,1440
XRP,xrp_2026-05-02.npz,0.9140093079598959,85657,1440
XRP,xrp_2026-05-03.npz,0.9289738004906405,85934,1440
XRP,xrp_2026-05-04.npz,0.9286596064453997,86281,1440
XRP,xrp_2026-05-05.npz,0.9333965022079166,86221,1440
XRP,xrp_2026-05-06.npz,0.9184479326547228,86302,1440
XRP,xrp_2026-05-07.npz,0.935542925054193,86220,1440
XRP,xrp_2026-05-08.npz,0.9089939430371416,86175,1440
XRP,xrp_2026-05-09.npz,0.924720395466675,85455,1440
XRP,xrp_2026-05-10.npz,0.9331571498280777,85940,1440
XRP,xrp_2026-05-11.npz,0.9318971835544658,86183,1440
XRP,xrp_2026-05-12.npz,0.9302215716328139,86318,1440
XRP,xrp_2026-05-13.npz,0.9206780347482538,86315,1440
XRP,xrp_2026-05-14.npz,0.9206624215472997,86234,1440
XRP,xrp_2026-05-15.npz,0.9057222165307197,86238,1440
XRP,xrp_2026-05-16.npz,0.8937366815481225,85980,1440
XRP,xrp_2026-05-17.npz,0.885158547541365,85884,1440
XRP,xrp_2026-05-18.npz,0.9122969666843398,86270,1440
XRP,xrp_2026-05-19.npz,0.9128063598970005,86247,1440
XRP,xrp_2026-05-20.npz,0.907744952668252,86081,1440
XRP,xrp_2026-05-21.npz,0.9144248078590604,86158,1440
XRP,xrp_2026-05-22.npz,0.9129392299491356,86259,1440
XRP,xrp_2026-05-23.npz,0.8862328320831188,86055,1440
XRP,xrp_2026-05-24.npz,0.9163639352757649,85863,1440
XRP,xrp_2026-05-25.npz,0.9045432595817195,86034,1440
