asset,horizon,horizon_seconds,train,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,n,levels
XRP,10,3000,3000,-0.01745736547570509,-0.012653223475228348,-0.01649518210356038,0.0009621833721447093,-0.0038419586283320317,0.49583619833447934,0.5043166017266407,0.512644205057682,13089,20
BTC,20,6000,3000,-0.01840880080273255,-0.020231543632371674,-0.015548393889074807,0.0028604069136577426,0.004683149743296866,0.5015673981191222,0.5174707546448505,0.5232051380074929,13079,20
ETH,20,6000,3000,-0.022017604096577825,-0.013758691466437156,-0.01736341611720471,0.0046541879793731145,-0.0036047246507675546,0.5245813900145271,0.5235109717868338,0.5302393149323342,13079,20
SOL,20,6000,3000,-0.02619319982601742,-0.01706004961424923,-0.01559252079514728,0.010600679030870142,0.0014675288191019487,0.5118892881718786,0.5096719932716569,0.4997323954430767,13079,20
XRP,20,6000,3000,-0.025888357860984534,-0.01113034696514048,-0.021497448982678913,0.004390908878305622,-0.010367102017538432,0.5073017814817646,0.5134949155134184,0.5288630629253,13079,20
BTC,2,600,6000,-0.0017855544274596458,-0.0011664859212630052,-0.0006069484108131018,0.001178606016646544,0.0005595375104499034,0.5073784292364069,0.5152025354065564,0.5119342378924433,10097,20
ETH,2,600,6000,-0.0015166485651194606,-0.001956448956846213,-0.000710262355416047,0.0008063862097034136,0.001246186601430166,0.5162919679112608,0.5129246310785381,0.5099534515202535,10097,20
SOL,2,600,6000,-0.0031113556731483527,-0.0012522793528255693,-0.0003108845481438749,0.002800471125004478,0.0009413948046816945,0.49608794691492525,0.5042091710409032,0.4984648905615529,10097,20
XRP,2,600,6000,-0.0028572467499845544,-0.0021949307622253222,-0.001022096480992607,0.0018351502689919474,0.0011728342812327153,0.5020303060314945,0.5120332772110527,0.5123303951668813,10097,20
BTC,5,1500,6000,-0.0026748465425201484,-0.006750781061861888,-0.002391068419710596,0.0002837781228095526,0.004359712642151292,0.5059441252229047,0.5136714880126808,0.5140677630275411,10094,20
ETH,5,1500,6000,-0.0025765882355854863,-0.008107796854439187,-0.00342674802650067,-0.0008501597909151837,0.0046810488279385165,0.5192193382207252,0.5159500693481276,0.5137705567663958,10094,20
SOL,5,1500,6000,-0.0044324842317209345,-0.004353940589232996,-0.0013274052232803424,0.003105079008440592,0.003026535365952654,0.4980186249256984,0.5059441252229047,0.49960372498513966,10094,20
XRP,5,1500,6000,-0.004102164217192783,-0.004053501234456025,-0.001901371230114135,0.002200792987078648,0.00215213000434189,0.5111947691698039,0.5175351694075688,0.5215969883098871,10094,20
BTC,10,3000,6000,-0.0035229444258766396,-0.009668843213323619,-0.00726407373832294,-0.0037411293124463008,0.0024047694750006787,0.5067895728020616,0.5257210823669343,0.5237387253444346,10089,20
ETH,10,3000,6000,-0.0038871579709593984,-0.013633934815030502,-0.006051736017762099,-0.002164578046802701,0.007582198797268402,0.5211616612151848,0.52046783625731,0.5244325503023094,10089,20
SOL,10,3000,6000,-0.005252170349802743,-0.006287052002678539,-0.0027588644808336227,0.00249330586896912,0.0035281875218449166,0.4911289523243136,0.5052036871840618,0.504212508672812,10089,20
XRP,10,3000,6000,-0.006511531014663063,-0.009451495929915454,-0.004109482791410768,0.0024020482232522955,0.0053420131385046865,0.5060957478441868,0.511745465358311,0.527802557240559,10089,20
BTC,20,6000,6000,-0.00837053120589104,-0.013693189557806296,-0.013172522049985647,-0.004801990844094606,0.0005206675078206491,0.5262426828058339,0.5342791943645203,0.5411251116182161,10079,20
ETH,20,6000,6000,-0.0063209497288398975,-0.019436452894570966,-0.010803405786797837,-0.00448245605795794,0.008633047107773129,0.5363627343982538,0.5323940867149519,0.5379501934715746,10079,20
SOL,20,6000,6000,-0.008910496883891339,-0.012073649197738012,-0.003679327116882458,0.005231169767008881,0.008394322080855554,0.5042166881635083,0.5123524159142772,0.511062605417204,10079,20
XRP,20,6000,6000,-0.01119866223548649,-0.015539327414436865,-0.005994646013075311,0.0052040162224111786,0.009544681401361554,0.5167179283659094,0.5244567913483481,0.5368588153586665,10079,20

